ID,DB SCHEMA,Load Y/N THEME,DOWNLOAD,INPUT_LAYER,LAWS
ch.Nutzungsplanung,land_use_plans,N,unset,unset,unset
ch.ProjektierungszonenNationalstrassen,motorways_project_planing_zones,Y,unset,ch.astra.projektierungszonen-nationalstrassen_v2_0.oereb,https://tesr_with_bad_url;http://models.geo.admin.ch/V_D/OeREB/OeREBKRM_V2_0_Gesetze.xml
ch.BaulinienNationalstrassen,motorways_building_lines,Y,unset,ch.astra.baulinien-nationalstrassen_v2_0.oereb,this_will_give_an_error
ch.ProjektierungszonenEisenbahnanlagen,railways_project_planning_zones,Y,unset,ch.bav.projektierungszonen-eisenbahnanlagen_v2_0.oereb,unset
ch.BaulinienEisenbahnanlagen,railways_building_lines,Y,unset,ch.bav.baulinien-eisenbahnanlagen_v2_0.oereb,unset
ch.ProjektierungszonenFlughafenanlagen,airports_project_planning_zones,Y,unset,ch.bazl.projektierungszonen-flughafenanlagen_v2_0.oereb,unset
ch.BaulinienFlughafenanlagen,airports_building_lines,Y,unset,ch.bazl.baulinien-flughafenanlagen_v2_0.oereb,unset
ch.Sicherheitszonenplan,airports_security_zone_plans,Y,unset,ch.bazl.sicherheitszonenplan_v2_0.oereb,unset
ch.BelasteteStandorteMilitaer,contaminated_military_sites,Y,unset,ch.vbs.kataster-belasteter-standorte-militaer_v2_0.oereb,unset
ch.BelasteteStandorteZivileFlugplaetze,contaminated_civil_aviation_sites,Y,unset,ch.bazl.kataster-belasteter-standorte-zivilflugplaetze_v2_0.oereb,unset
ch.BelasteteStandorteOeffentlicherVerkehr,contaminated_public_transport_sites,Y,http://bad_download_url,ch.bav.kataster-belasteter-standorte-oev_v2_0.oereb,unset
ch.Grundwasserschutzzonen,groundwater_protection_zones,N,unset,unset,unset
ch.Grundwasserschutzareale,groundwater_protection_sites,N,unset,unset,unset
ch.Laermempfindlichkeitsstufen,noise_sensitivity_levels,N,unset,unset,unset
ch.StatischeWaldgrenzen,forest_perimeters,N,unset,unset,unset
ch.Waldabstandslinien,forest_distance_lines,N,unset,unset,unset
ch.ProjektierungszonenStarkstromanlagen,nominal_high_voltage_reserved_zones,Y,unset,ch.bfe.projektierungszonen-starkstromanlagen_v2_0.oereb,unset
ch.BaulinienStarkstromanlagen,high_voltage_installations_building_lines,Y,unset,ch.bfe.baulinien-starkstromanlagen_v2_0.oereb,unset
ch.BelasteteStandorte,contaminated_sites,Y,https://sz.altlast4web.ch/interlis_exports/oereb2/data.zip,ch.BelasteteStandorte,OeREBKRM_V2_0_Gesetze-Kanton.xml;http://models.geo.admin.ch/V_D/OeREB/OeREBKRM_V2_0_Gesetze.xml
